,year,quarter,conflicts,hearings
0,2013,1,1532,307
0,2013,2,2051,506
0,2013,3,949,253
0,2013,4,856,225
0,2014,1,1455,338
0,2014,2,1974,422
0,2014,3,1151,260
0,2014,4,172,83
0,2015,1,2406,429
0,2015,2,2106,426
0,2015,3,1197,246
0,2015,4,1212,280
0,2016,1,2129,419
0,2016,2,1548,369
0,2016,3,1153,259
0,2016,4,124,48
0,2017,1,1772,324
0,2017,2,1459,376
0,2017,3,683,214
0,2017,4,912,288
0,2018,1,1437,289
0,2018,2,1808,429
0,2018,3,892,221
0,2018,4,58,47
0,2019,1,1995,342
0,2019,2,2821,501
0,2019,3,1241,284
0,2019,4,1050,283
0,2020,1,1931,356
0,2020,2,32,87
0,2020,3,310,214
0,2020,4,47,47
0,2021,1,552,248
0,2021,2,1504,439
0,2021,3,642,211
0,2021,4,657,204
0,2022,1,844,235
0,2022,2,1663,379
0,2022,3,912,187
0,2022,4,152,71
0,2023,1,2147,298
0,2023,2,2176,395
0,2023,3,1114,251
0,2023,4,765,211
0,2024,1,1464,269
0,2024,2,1653,337
