,No. Committees,No. Conflicts
Mike Rogers,14,81
Michael T. McCaul,12,78
Steve Daines,11,90
Patrick Meehan,11,90
Steve King,11,30
Frank A. LoBiondo,10,20
Cynthia M. Lummis,10,174
Blake Farenthold,10,121
Larry Bucshon,10,76
Scott Perry,10,68
Eddie Bernice Johnson,10,34
Lamar Smith,10,87
Thomas Massie,10,94
Lou Barletta,10,58
Peter A. DeFazio,10,73
Mark Meadows,10,131
Jason Chaffetz,9,121
Doc Hastings,9,110
Doug Lamborn,9,93
Susan W. Brooks,9,21
Richard Hudson,9,29
Jeff Duncan,9,95
Steven M. Palazzo,9,45
Paul Cook,9,83
Paul C. Broun,9,79
Randy Neugebauer,9,23
Doug Collins,9,178
Chris Collins,9,27
Bill Shuster,9,25
Duncan Hunter,9,51
Jeff Denham,9,38
Dan Benishek,9,60
Mike Coffman,9,42
Mo Brooks,9,62
Ron DeSantis,9,169
Steve Chabot,9,104
Tom Marino,9,119
Bradley Byrne,9,53
Glenn Thompson,9,55
Joseph J. Heck,9,13
K. Michael Conaway,9,7
Timothy J. Walz,9,42
Jon Runyan,8,65
Sean P. Duffy,8,56
Kurt Schrader,8,9
Tom Rice,8,21
Dina Titus,8,29
Ann M. Kuster,8,18
Trey Gowdy,8,55
Austin Scott,8,7
Joe Courtney,8,28
John Garamendi,8,30
Don Young,8,45
Rob Bishop,8,49
Bob Gibbs,8,8
Peter T. King,8,26
Scott DesJarlais,8,57
Mike Pompeo,8,16
Reid J. Ribble,8,22
Scott R. Tipton,8,29
Joe Wilson,8,64
Jim Bridenstine,8,18
"Eric A. ""Rick"" Crawford",8,11
Michael E. Capuano,8,23
Ron Barber,8,17
Paul A. Gosar,8,79
Richard M. Nolan,8,10
Joe Garcia,7,84
Tony Cerdenas,7,75
Jim Costa,7,18
Markwayne Mullin,7,29
Donna F. Edwards,7,20
Stephen Lee Fincher,7,8
Christopher P. Gibson,7,9
Sean Patrick Maloney,7,9
Thomas J. Rooney,7,8
Alan S. Lowenthal,7,68
Henry A. Waxman,7,58
Gary G. Miller,7,17
Mick Mulvaney,7,11
Adam Kinzinger,7,58
Joe Barton,7,58
"John J. Duncan,  Jr.",7,33
Jaime Herrera Beutler,7,25
Bennie G. Thompson,7,1
Ann Kirkpatrick,7,26
Theodore E. Deutch,7,64
Bill Johnson,7,39
Judy Chu,7,23
Eleanor Holmes Norton,7,33
Jason T. Smith,7,66
Pedro R. Pierluisi,7,52
Janice D. Schakowsky,7,23
Yvette D. Clarke,7,3
Zoe Lofgren,7,48
Rodney Davis,7,9
Vance M. McAllister,7,22
"Henry C. ""Hank"" Johnson,  Jr.",7,35
Jackie Walorski,7,42
Gloria Negrete McLeod,7,13
Michelle Lujan Grisham,7,30
Rael M. Grijalva,7,50
Mark Sanford,7,20
Tammy Duckworth,7,17
Juan Vargas,7,23
George Holding,7,64
Brett Guthrie,7,47
Steve Cohen,7,33
Kristi L. Noem,7,10
Doug LaMalfa,7,19
Janice Hahn,7,9
Tim Huelskamp,7,13
Kevin Cramer,7,56
Daniel Webster,7,9
Colleen W. Hanabusa,7,41
Frank D. Lucas,7,29
Jim Jordan,7,56
Fred Upton,7,58
Vicky Hartzler,7,21
Howard Coble,7,40
Shelley Moore Capito,7,17
Thomas E. Petri,7,18
Candice S. Miller,7,21
Richard L. Hanna,7,8
John L. Mica,7,34
Richard B. Nugent,7,21
Spencer Bachus,7,50
Ted Poe,6,51
Rael R. Labrador,6,46
Matt Salmon,6,23
Bradley S. Schneider,6,19
Dana Rohrabacher,6,30
Trent Franks,6,23
Suzanne Bonamici,6,19
Scott H. Peters,6,26
Robert J. Wittman,6,29
Curt Clawson,6,28
"F. James Sensenbrenner,  Jr.",6,34
J. Randy Forbes,6,38
Tom Cotton,6,27
John Fleming,6,27
Jerrold Nadler,6,22
"Robert C. ""Bobby"" Scott",6,33
Brad R. Wenstrup,6,24
Tom Cole,6,37
Grace F. Napolitano,6,20
Ed Pastor,6,14
Madeleine Z. Bordallo,6,26
Suzan K. DelBene,6,14
Danny K. Davis,6,33
Brad Sherman,6,22
Tim Walberg,6,35
Ted S. Yoho,6,16
Jackie Speier,6,16
Julia Brownley,6,24
Raul Ruiz,6,24
Ami Bera,6,38
William R. Keating,6,23
Albio Sires,6,14
Loretta Sanchez,6,10
Daniel B. Maffei,6,5
Sheila Jackson Lee,6,32
Jim Cooper,6,20
David P. Roe,6,25
Brian Higgins,6,26
David Loebsack,6,12
David N. Cicilline,6,72
Corrine Brown,6,25
Niki Tsongas,6,33
Marcia L. Fudge,6,8
Patrick T. McHenry,6,30
Adam B. Schiff,6,4
Susan A. Davis,6,12
Mark Takano,6,26
Beto O'Rourke,6,17
Eni F. H. Faleomavaega,6,41
Gerald E. Connolly,6,56
Stephen F. Lynch,6,20
James R. Langevin,6,5
Timothy H. Bishop,6,26
Derek Kilmer,6,11
Bill Posey,6,14
"Randy K. Weber,  Sr.",6,40
Marsha Blackburn,6,49
Rick Larsen,6,15
Carol Shea-Porter,6,26
"Frank Pallone,  Jr.",6,45
Marc A. Veasey,6,19
Peter Welch,6,56
Lois Frankel,6,28
David Scott,6,7
Rush Holt,6,41
Kerry L. Bentivolio,6,14
Louie Gohmert,6,66
Pete P. Gallego,6,13
Steven A. Horsford,6,51
Elizabeth H. Esty,6,20
Blaine Luetkemeyer,6,6
Nick J. Rahall II,6,5
William L. Enyart,6,13
Michael C. Burgess,6,33
Cheri Bustos,6,8
Ralph M. Hall,6,21
Frederica S. Wilson,6,22
Tom Price,6,35
"Joseph P. Kennedy,  III",6,28
Randy Hultgren,6,23
Rob Woodall,6,29
Luke Messer,6,19
Carolyn B. Maloney,6,22
Andre Carson,6,16
Steve Stockman,6,39
Mike McIntyre,6,10
Alan Grayson,6,34
Gregorio Kilili Camacho Sablan,6,32
Daniel Lipinski,6,16
Gus M. Bilirakis,6,36
Bill Flores,6,51
Carolyn McCarthy,6,18
Mike Kelly,6,16
Ruben Hinojosa,6,21
Matt Cartwright,6,73
Kenny Marchant,6,18
Filemon Vela,5,8
Wm. Lacy Clay,5,12
John Barrow,5,24
Katherine M. Clark,5,28
Kathy Castor,5,31
John D. Dingell,5,24
Michael R. Turner,5,13
John A. Yarmuth,5,26
Joaquin Castro,5,14
Mac Thornberry,5,1
Gregory W. Meeks,5,15
Eric Swalwell,5,6
Robin L. Kelly,5,40
Ken Calvert,5,42
Virginia Foxx,5,3
Gene Green,5,22
John Kline,5,13
Jared Huffman,5,26
Michael H. Michaud,5,19
Tulsi Gabbard,5,37
Elijah E. Cummings,5,20
Roger Williams,5,10
Todd Rokita,5,21
John F. Tierney,5,31
Alan Nunnelee,5,25
Linda T. Senchez,5,1
Cedric L. Richmond,5,22
Phil Gingrey,5,17
Charles W. Dent,5,10
"Steve Southerland,  II",5,23
Aaron Schock,5,3
Ileana Ros-Lehtinen,5,18
Jared Polis,5,3
Gregg Harper,5,11
Jeff Miller,5,24
Martha Roby,5,7
David Schweikert,5,4
Sam Graves,5,3
"Donald M. Payne,  Jr.",5,5
Karen Bass,5,42
John Shimkus,5,27
Patrick Murphy,5,5
Grace Meng,5,13
Kay Granger,4,11
Mark E. Amodei,4,15
Jack Kingston,4,22
Chris Stewart,4,12
Darrell E. Issa,4,44
Tom McClintock,4,12
Bob Goodlatte,4,5
