Date,Committee,Hearing Title,Time,Link,Code
"Friday, January 4, 2013",Committee on Rules,Organizational Meeting for the 113th Congress,10:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100052,RU00
"Monday, January 14, 2013",Committee on Rules,"H.R. 152 Disaster Relief Appropriations Act, 2013",5:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100105,RU00
"Monday, January 14, 2013",Committee on Ways and Means,Organizational Meeting of the Committee on Ways and Means,6:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100113,WM00
"Tuesday, January 15, 2013",Committee on Armed Services,Organizational Meeting for the 113th Congress,11:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100230,AS00
"Tuesday, January 22, 2013",Committee on Oversight and Government Reform,Organizational Meeting for the 113th Congress,12:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100140,GO00
"Tuesday, February 5, 2013",Committee on House Administration,Organizational Meeting for the 113th Congress,2:45 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100141,HA00
"Tuesday, January 15, 2013",Committee on Foreign Affairs,Committee Organizational Meeting for the 113th Congress,3:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100109,FA00
"Tuesday, January 22, 2013",Committee on Energy and Commerce,Organizational Meeting of the Committee on Energy and Commerce and Markup,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100139,IF00
"Tuesday, January 22, 2013",Committee on Veterans Affairs,Organizational Meeting for the 113th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100097,VR00
"Tuesday, January 22, 2013",Committee on Oversight and Government Reform,Wasting Information Technology Dollars: How Can the Federal Government Reform its IT Investment Strategy?,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100167,GO00
"Tuesday, January 22, 2013",Committee on Ways and Means,Camp Announces Hearing on the Debt Limit,1:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100166,WM00
"Tuesday, January 22, 2013",Committee on Rules,"H.R. 325 - To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes.",2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100208,RU00
"Tuesday, January 22, 2013",Committee on Education and the Workforce,Full Committee Organizational Meeting,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100201,ED00
"Wednesday, January 23, 2013","Committee on Science, Space, and Technology",Organizational Meeting,9:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100207,SY00
"Wednesday, January 23, 2013",Committee on Natural Resources,Full Committee Organizational Meeting,9:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100172,II00
"Wednesday, January 23, 2013",Committee on the Judiciary,Organizational Meeting for the 113th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100194,JU00
"Wednesday, January 23, 2013",Committee on Homeland Security,Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100174,HM00
"Wednesday, January 23, 2013",Committee on Transportation and Infrastructure,Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100209,PW00
"Wednesday, January 23, 2013",Committee on Armed Services,A Review of Sexual Misconduct by Basic Training Instructors at Lackland Air Force Base,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100231,AS00
