,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
AG00,K. Michael Conaway,Bob Goodlatte,Frank D. Lucas,Steve King,Randy Neugebauer,Mike Rogers,Glenn Thompson,Bob Gibbs,Austin Scott,"Eric A. ""Rick"" Crawford",Scott DesJarlais,Christopher P. Gibson,Vicky Hartzler,Dan Benishek,Jeff Denham,Doug LaMalfa,Rodney Davis,Ted S. Yoho,Jackie Walorski,Rick W. Allen,Mike Bost,David Rouzer,Ralph Lee Abraham,John R. Moolenaar,Dan Newhouse,Trent Kelly,Collin C. Peterson,David Scott,Jim Costa,Timothy J. Walz,Marcia L. Fudge,James P. McGovern,Suzan K. DelBene,Filemon Vela,Michelle Lujan Grisham,Ann M. Kuster,Richard M. Nolan,Cheri Bustos,Sean Patrick Maloney,Ann Kirkpatrick,Pete Aguilar,Stacey E. Plaskett,Alma S. Adams,Gwen Graham,Brad Ashford,,,,,,,,,,,,,,,,
AG03,Jackie Walorski,Randy Neugebauer,Glenn Thompson,Bob Gibbs,"Eric A. ""Rick"" Crawford",Vicky Hartzler,Dan Benishek,Rodney Davis,Ted S. Yoho,David Rouzer,Ralph Lee Abraham,John R. Moolenaar,James P. McGovern,Marcia L. Fudge,Alma S. Adams,Michelle Lujan Grisham,Pete Aguilar,Stacey E. Plaskett,Brad Ashford,Suzan K. DelBene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG15,Glenn Thompson,Frank D. Lucas,Steve King,Scott DesJarlais,Christopher P. Gibson,Dan Benishek,Rick W. Allen,Mike Bost,Michelle Lujan Grisham,Ann M. Kuster,Richard M. Nolan,Suzan K. DelBene,Ann Kirkpatrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG16,"Eric A. ""Rick"" Crawford",Frank D. Lucas,Randy Neugebauer,Mike Rogers,Bob Gibbs,Austin Scott,Jeff Denham,Doug LaMalfa,Jackie Walorski,Rick W. Allen,Mike Bost,Ralph Lee Abraham,Timothy J. Walz,Cheri Bustos,Gwen Graham,Brad Ashford,David Scott,Jim Costa,Sean Patrick Maloney,Ann Kirkpatrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG29,David Rouzer,Bob Goodlatte,Steve King,Scott DesJarlais,Vicky Hartzler,Ted S. Yoho,Dan Newhouse,Trent Kelly,Jim Costa,Stacey E. Plaskett,Filemon Vela,Richard M. Nolan,Cheri Bustos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG14,Rodney Davis,Glenn Thompson,Austin Scott,Christopher P. Gibson,Jeff Denham,Ted S. Yoho,John R. Moolenaar,Dan Newhouse,Suzan K. DelBene,Marcia L. Fudge,James P. McGovern,Ann M. Kuster,Gwen Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG22,Austin Scott,Bob Goodlatte,Frank D. Lucas,Randy Neugebauer,Mike Rogers,Doug LaMalfa,Rodney Davis,Trent Kelly,David Scott,Filemon Vela,Sean Patrick Maloney,Ann Kirkpatrick,Pete Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP00,Harold Rogers,Rodney P. Frelinghuysen,Robert B. Aderholt,Kay Granger,Michael K. Simpson,John Abney Culberson,Ander Crenshaw,John R. Carter,Ken Calvert,Tom Cole,Mario Diaz-Balart,Charles W. Dent,Tom Graves,Kevin Yoder,Steve Womack,Jeff Fortenberry,Thomas J. Rooney,"Charles J. ""Chuck"" Fleischmann",Jaime Herrera Beutler,David P. Joyce,David G. Valadao,Andy Harris,Martha Roby,Mark E. Amodei,Chris Stewart,E. Scott Rigell,David W. Jolly,David Young,Evan H. Jenkins,Steven M. Palazzo,Nita M. Lowey,Marcy Kaptur,Peter J. Visclosky,Jose E. Serrano,Rosa L. DeLauro,David E. Price,Lucille Roybal-Allard,Sam Farr,"Sanford D. Bishop,  Jr.",Barbara Lee,Michael M. Honda,Betty McCollum,Steve Israel,Tim Ryan,C. A. Dutch Ruppersberger,Debbie Wasserman Schultz,Henry Cuellar,Chellie Pingree,Mike Quigley,Derek Kilmer,Matt Cartwright,,,,,,,,,,
AP01,Robert B. Aderholt,Kevin Yoder,Thomas J. Rooney,David G. Valadao,Andy Harris,David Young,Steven M. Palazzo,Sam Farr,Rosa L. DeLauro,"Sanford D. Bishop,  Jr.",Chellie Pingree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP19,John Abney Culberson,Robert B. Aderholt,John R. Carter,Jaime Herrera Beutler,Martha Roby,David W. Jolly,Steven M. Palazzo,Michael M. Honda,Jose E. Serrano,Derek Kilmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
