value,id,variable
Adam B. Schiff,2,2
Adam Kinzinger,4,4
Adam Smith,2,2
Adrian Smith,4,4
Al Green,3,3
Alan Grayson,7,7
Alan S. Lowenthal,7,7
Albio Sires,7,7
Alcee L. Hastings,2,2
Alexander X. Mooney,4,4
Alma S. Adams,7,7
Ami Bera,6,6
Ander Crenshaw,4,4
Andre Carson,6,6
Andy Barr,3,3
Andy Harris,5,5
Ann Kirkpatrick,8,8
Ann M. Kuster,6,6
Ann Wagner,3,3
Anna G. Eshoo,2,2
Aumua Amata Coleman Radewagen,8,8
Austin Scott,7,7
Barbara Comstock,8,8
Barbara Lee,5,5
Barry Loudermilk,6,6
Ben Ray Lujen,3,3
Bennie G. Thompson,7,7
Beto O'Rourke,6,6
Betty McCollum,4,4
Bill Flores,4,4
Bill Foster,5,5
Bill Huizenga,3,3
Bill Johnson,5,5
"Bill Pascrell,  Jr.",4,4
Bill Posey,6,6
Bill Shuster,8,8
Billy Long,4,4
Blaine Luetkemeyer,6,6
Blake Farenthold,10,10
Bob Gibbs,7,7
Bob Goodlatte,4,4
Bobby L. Rush,4,4
Bonnie Watson Coleman,7,7
Brad Ashford,6,6
Brad R. Wenstrup,9,9
Brad Sherman,6,6
Bradley Byrne,9,9
Brenda L. Lawrence,6,6
Brendan F. Boyle,5,5
Brett Guthrie,7,7
Brian Babin,7,7
Brian Higgins,6,6
Bruce Poliquin,3,3
Bruce Westerman,7,7
C. A. Dutch Ruppersberger,3,3
Candice S. Miller,8,8
Carlos Curbelo,10,10
Carolyn B. Maloney,5,5
Cathy McMorris Rodgers,2,2
Cedric L. Richmond,6,6
Charles B. Rangel,3,3
"Charles J. ""Chuck"" Fleischmann",4,4
"Charles W. Boustany,  Jr.",3,3
Charles W. Dent,5,5
Chellie Pingree,3,3
Cheri Bustos,6,6
Chris Collins,4,4
Chris Stewart,7,7
Chris Van Hollen,1,1
Christopher H. Smith,3,3
Christopher P. Gibson,9,9
Collin C. Peterson,1,1
Corrine Brown,5,5
Cresent Hardy,10,10
Curt Clawson,6,6
