Date,Committee,Hearing Title,Time,Link,Code
"Wednesday, January 7, 2015",Committee on Rules,Organizational Meeting for the 114th Congress,10:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102809,RU00
"Tuesday, January 13, 2015",Committee on Energy and Commerce,Organizational Meeting of the Committee on Energy and Commerce,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102806,IF00
"Monday, January 12, 2015",Committee on Rules,"H.R. 185 Regulatory Accountability Act of 2015; H.R. 37 Promoting Job Creation and Reducing Small Business Burdens Act; H.R. 240 Department of Homeland Security Appropriations Act, 2015",5:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102812,RU00
"Tuesday, January 13, 2015",Committee on Foreign Affairs,"Briefing: The North Korean Threat: Nuclear, Missiles and Cyber",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102811,FA00
"Tuesday, January 13, 2015",Committee on Ways and Means,"Moving America Forward: With a Focus on Economic Growth, Ryan Announces First Committee Hearing of the 114th Congress",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102805,WM00
"Wednesday, January 21, 2015",Committee on Veterans Affairs,Business Meeting to Formally Organize the Veterans Committee for the 114th Congress,10:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102807,VR00
"Wednesday, January 14, 2015",Committee on Armed Services,Organizational Meeting for the 114th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102804,AS00
"Tuesday, January 13, 2015",Committee on Financial Services,Organizational Meeting,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102813,BA00
"Tuesday, January 20, 2015",Committee on Rules,H.R. 36 Pain-Capable Unborn Child Protection Act; H.R. 161 Natural Gas Pipeline Permitting Reform Act,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102824,RU00
"Wednesday, January 21, 2015",Committee on Homeland Security,Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102837,HM00
"Wednesday, January 21, 2015",Subcommittee on Communications and Technology (Committee on Energy and Commerce),Protecting the Internet and Consumers Through Congressional Action,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102832,IF16
"Wednesday, January 21, 2015",Committee on Transportation and Infrastructure,FAA Reauthorization: Reforming and Streamlining the FAA s Regulatory Certification Processes,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102819,PW00
"Wednesday, January 21, 2015",Committee on Education and the Workforce,Organizational meeting to consider and adopt the Committee Rules for the 114th Congress and the Oversight Plan for the 114th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102835,ED00
"Wednesday, January 21, 2015",Committee on Foreign Affairs,Full Committee Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=102841,FA00
