,AG00,AP00,AS00,BU00,ED00,IF00,IE00,SO00,BA00,FA00,HM00,HA00,JU00,II00,GO00,RU00,SY00,SM00,PW00,VR00,WM00,ZI00,IG00
AG00,45,0,10,3,4,0,2,0,3,2,2,1,3,6,3,2,4,4,10,6,0,0,1
AP00,0,51,0,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
AS00,10,0,61,3,9,0,2,0,0,4,4,2,4,10,4,1,4,3,6,7,0,2,7
BU00,3,5,3,36,4,3,2,0,4,0,0,0,0,4,5,2,3,2,3,0,5,0,0
ED00,4,0,9,4,38,1,0,0,2,2,2,0,2,4,5,3,3,3,4,2,0,0,1
IF00,0,0,0,3,1,53,5,2,0,1,0,1,0,1,1,1,1,1,0,2,0,2,1
IE00,2,1,2,2,0,5,14,0,2,0,1,0,2,0,1,0,0,0,1,0,1,0,1
SO00,0,1,0,0,0,2,0,10,1,1,0,0,2,0,1,0,0,1,1,0,4,3,0
BA00,3,0,0,4,2,0,2,1,60,3,1,1,0,1,4,1,6,2,1,0,0,1,5
FA00,2,0,4,0,2,1,0,1,3,44,8,0,9,3,6,0,6,2,6,1,0,0,2
HM00,2,0,4,0,2,0,1,0,1,8,30,2,5,2,4,0,3,1,4,1,0,0,1
HA00,1,0,2,0,0,1,0,0,1,0,2,9,1,0,1,0,2,0,3,0,0,0,0
JU00,3,0,4,0,2,0,2,2,0,9,5,1,39,3,6,1,3,3,4,0,0,2,0
II00,6,0,10,4,4,1,0,0,1,3,2,0,3,43,4,2,3,2,6,4,0,0,0
GO00,3,0,4,5,5,1,1,1,4,6,4,1,6,4,42,0,2,1,7,0,0,4,1
RU00,2,1,1,2,3,1,0,0,1,0,0,0,1,2,0,13,0,0,1,0,0,0,0
SY00,4,0,4,3,3,1,0,0,6,6,3,2,3,3,2,0,38,2,7,2,0,0,1
SM00,4,0,3,2,3,1,0,1,2,2,1,0,3,2,1,0,2,22,4,2,0,0,0
PW00,10,0,6,3,4,0,1,1,1,6,4,3,4,6,7,1,7,4,59,6,0,1,2
VR00,6,0,7,0,2,2,0,0,0,1,1,0,0,4,0,0,2,2,6,24,0,0,2
WM00,0,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,39,2,1
ZI00,0,1,2,0,0,2,0,3,1,0,0,0,2,0,4,0,0,0,1,0,2,12,3
IG00,1,3,7,0,1,1,1,0,5,2,1,0,0,0,1,0,1,0,2,2,1,3,22
