,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AG00,K. Michael Conaway,Bob Goodlatte,Frank D. Lucas,Steve King,Mike Rogers,Glenn Thompson,Bob Gibbs,Austin Scott,"Eric A. ""Rick"" Crawford",Scott DesJarlais,Vicky Hartzler,Jeff Denham,Doug LaMalfa,Rodney Davis,Ted S. Yoho,Rick W. Allen,Mike Bost,David Rouzer,Ralph Lee Abraham,Trent Kelly,James Comer,Roger W. Marshall,Don Bacon,John J. Faso,Neal P. Dunn,Jodey C. Arrington,Collin C. Peterson,David Scott,Jim Costa,Timothy J. Walz,Marcia L. Fudge,James P. McGovern,Filemon Vela,Michelle Lujan Grisham,Ann M. Kuster,Richard M. Nolan,Cheri Bustos,Sean Patrick Maloney,Stacey E. Plaskett,Alma S. Adams,Dwight Evans,"Al Lawson,  Jr.",Tom O'Halleran,Jimmy Panetta,Darren Soto,Lisa Blunt Rochester,,,,,,,,,,,,,,
AG03,Glenn Thompson,Steve King,"Eric A. ""Rick"" Crawford",Scott DesJarlais,Vicky Hartzler,Rodney Davis,Ted S. Yoho,David Rouzer,James Comer,Roger W. Marshall,John J. Faso,Jodey C. Arrington,James P. McGovern,Alma S. Adams,Dwight Evans,Marcia L. Fudge,Michelle Lujan Grisham,"Al Lawson,  Jr.",Jimmy Panetta,Darren Soto,Sean Patrick Maloney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG15,Frank D. Lucas,Glenn Thompson,Jeff Denham,Doug LaMalfa,Rick W. Allen,Mike Bost,Ralph Lee Abraham,Trent Kelly,Marcia L. Fudge,Timothy J. Walz,Ann M. Kuster,Richard M. Nolan,Tom O'Halleran,Filemon Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG16,"Eric A. ""Rick"" Crawford",Frank D. Lucas,Mike Rogers,Bob Gibbs,Austin Scott,Scott DesJarlais,Rick W. Allen,Mike Bost,Ralph Lee Abraham,Don Bacon,Neal P. Dunn,Jodey C. Arrington,Richard M. Nolan,Timothy J. Walz,Cheri Bustos,Lisa Blunt Rochester,David Scott,Sean Patrick Maloney,Stacey E. Plaskett,"Al Lawson,  Jr.",Tom O'Halleran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG29,David Rouzer,Bob Goodlatte,Steve King,Scott DesJarlais,Vicky Hartzler,Ted S. Yoho,Trent Kelly,Roger W. Marshall,Jim Costa,Filemon Vela,Cheri Bustos,Stacey E. Plaskett,Dwight Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG14,Rodney Davis,Bob Gibbs,Jeff Denham,Ted S. Yoho,David Rouzer,Don Bacon,Neal P. Dunn,Jodey C. Arrington,Michelle Lujan Grisham,"Al Lawson,  Jr.",Jimmy Panetta,Jim Costa,James P. McGovern,Lisa Blunt Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG22,Austin Scott,Bob Goodlatte,Mike Rogers,Doug LaMalfa,Rodney Davis,James Comer,Roger W. Marshall,John J. Faso,David Scott,Sean Patrick Maloney,Ann M. Kuster,Stacey E. Plaskett,Tom O'Halleran,Darren Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP00,Rodney P. Frelinghuysen,Harold Rogers,Robert B. Aderholt,Kay Granger,Michael K. Simpson,John Abney Culberson,John R. Carter,Ken Calvert,Tom Cole,Mario Diaz-Balart,Tom Graves,Kevin Yoder,Steve Womack,Jeff Fortenberry,Thomas J. Rooney,"Charles J. ""Chuck"" Fleischmann",Jaime Herrera Beutler,David P. Joyce,David G. Valadao,Andy Harris,Martha Roby,Mark E. Amodei,Chris Stewart,David Young,Steven M. Palazzo,Dan Newhouse,John R. Moolenaar,Scott Taylor,John H. Rutherford,Nita M. Lowey,Marcy Kaptur,Peter J. Visclosky,Jose E. Serrano,Rosa L. DeLauro,David E. Price,Lucille Roybal-Allard,"Sanford D. Bishop,  Jr.",Barbara Lee,Betty McCollum,Tim Ryan,C. A. Dutch Ruppersberger,Debbie Wasserman Schultz,Henry Cuellar,Chellie Pingree,Mike Quigley,Derek Kilmer,Matt Cartwright,Grace Meng,Mark Pocan,Katherine M. Clark,Pete Aguilar,,,,,,,,,
AP01,Robert B. Aderholt,Kevin Yoder,Thomas J. Rooney,David G. Valadao,Andy Harris,David Young,Steven M. Palazzo,"Sanford D. Bishop,  Jr.",Rosa L. DeLauro,Chellie Pingree,Mark Pocan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP19,John Abney Culberson,Harold Rogers,Robert B. Aderholt,John R. Carter,Martha Roby,Steven M. Palazzo,Jose E. Serrano,Derek Kilmer,Matt Cartwright,Grace Meng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
