Committee,Code,Scheduling Conflicts,Committee Members (Count)
Committee on Energy and Commerce,IF00,1895,55
Committee on Foreign Affairs,FA00,1661,47
Committee on Armed Services,AS00,1597,61
Committee on Natural Resources,II00,1400,44
Committee on the Judiciary,JU00,1299,40
Committee on Transportation and Infrastructure,PW00,1266,61
"Committee on Science, Space, and Technology",SY00,1254,40
Committee on Oversight and Government Reform,GO00,1204,42
Committee on Appropriations,AP00,960,52
Committee on Small Business,SM00,890,24
Committee on Education and the Workforce,ED00,864,40
Committee on Financial Services,BA00,811,61
Committee on Agriculture,AG00,788,47
Committee on Veterans Affairs,VR00,665,25
Committee on Homeland Security,HM00,654,31
Committee on the Budget,BU00,366,37
Permanent Select Committee on Intelligence,IG00,148,23
Committee on House Administration,HA00,141,10
Committee on Ways and Means,WM00,91,41
Committee on Rules,RU00,88,14
