,AG00,AP00,AS00,BU00,ED00,IF00,SO00,BA00,FA00,HM00,HA00,JU00,II00,GO00,RU00,SY00,SM00,PW00,VR00,WM00,IG00
AG00,46,0,10,3,5,0,0,2,1,3,1,2,5,3,1,4,6,12,5,0,2
AP00,0,51,0,5,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,3
AS00,10,0,60,4,8,0,1,0,5,5,1,1,12,5,2,6,3,7,3,0,5
BU00,3,5,4,36,6,2,0,0,1,1,0,4,3,3,2,1,1,8,2,5,0
ED00,5,0,8,6,39,2,1,1,4,3,0,1,3,4,2,2,3,7,3,0,1
IF00,0,0,0,2,2,54,4,0,2,0,1,0,0,2,1,2,1,0,3,0,0
SO00,0,0,1,0,1,4,10,0,1,1,0,3,1,0,1,0,1,1,0,1,0
BA00,2,0,0,0,1,0,0,60,5,1,1,1,4,4,0,6,2,1,1,0,3
FA00,1,0,5,1,4,2,1,5,46,6,0,10,2,4,1,3,5,6,1,0,2
HM00,3,0,5,1,3,0,1,1,6,30,0,5,1,2,0,3,1,5,3,0,2
HA00,1,0,1,0,0,1,0,1,0,0,9,2,0,2,0,2,0,2,0,1,0
JU00,2,2,1,4,1,0,3,1,10,5,2,39,3,4,2,3,3,2,0,0,2
II00,5,0,12,3,3,0,1,4,2,1,0,3,43,5,1,3,4,9,3,0,0
GO00,3,1,5,3,4,2,0,4,4,2,2,4,5,41,0,3,1,10,0,0,2
RU00,1,2,2,2,2,1,1,0,1,0,0,2,1,0,13,0,0,1,0,0,0
SY00,4,0,6,1,2,2,0,6,3,3,2,3,3,3,0,39,4,8,5,0,0
SM00,6,0,3,1,3,1,1,2,5,1,0,3,4,1,0,4,23,0,2,1,0
PW00,12,0,7,8,7,0,1,1,6,5,2,2,9,10,1,8,0,60,4,0,3
VR00,5,0,3,2,3,3,0,1,1,3,0,0,3,0,0,5,2,4,24,0,0
WM00,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,40,3
IG00,2,3,5,0,1,0,0,3,2,2,0,2,0,2,0,0,0,3,0,3,22
