,No. Committees,No. Conflicts
 Angie  Craig,12,54
 Troy  Balderson,12,98
 Anthony G. Brown,12,70
 Steve  Cohen,11,85
 Eddie Bernice Johnson,11,42
 Salud O. Carbajal,11,25
 Stacey E. Plaskett,11,45
 Mike  Bost,10,23
 Sean Patrick Maloney,10,16
 Mike  Rogers,10,26
 Frank D. Lucas,10,42
 Dina  Titus,10,61
 Stephen F. Lynch,10,76
 Jamie  Raskin,10,67
 Rael M. Grijalva,10,57
 Jim  Banks,9,47
 Pete  Stauber,9,73
 Debbie  Dingell,9,88
 Sam  Graves,9,18
 Rob  Woodall,9,24
 Elise M. Stefanik,9,45
 Brad  Sherman,9,86
 Eleanor Holmes Norton,9,33
 Rodney  Davis,9,16
 Conor  Lamb,9,42
 Anthony  Brindisi,9,28
 Xochitl  Torres Small,9,27
 Peter  Welch,9,76
" Jeses G. ""Chuy"" Garcea",9,70
 Debbie  Lesko,9,35
 Rob  Bishop,9,51
 Paul  Tonko,9,97
 Aumua Amata Coleman Radewagen,9,80
 Alan S. Lowenthal,9,41
 Mark  DeSaulnier,9,47
 Jackie  Speier,9,47
 W. Gregory Steube,9,72
 Al  Lawson,8,8
 Bill  Foster,8,38
 A. Donald McEachin,8,54
 John  Garamendi,8,15
 Ed  Case,8,62
 Val Butler Demings,8,41
 K. Michael Conaway,8,14
 Nanette Diaz Barragen,8,93
 Jared  Huffman,8,45
" Eric A. ""Rick"" Crawford",8,12
 Gregorio Kilili Camacho Sablan,8,45
 Adriano  Espaillat,8,55
 Antonio  Delgado,8,35
 Carol D. Miller,8,29
 Nydia M. Velezquez,8,76
 Sheila  Jackson Lee,8,66
 Mary Gay Scanlon,8,21
 Joaquin  Castro,8,35
 Gary J. Palmer,8,27
 Chrissy  Houlahan,8,67
 Marcia L. Fudge,8,15
 Mark E. Green,8,66
 Colin Z. Allred,8,35
 Rashida  Tlaib,8,38
 Norma J. Torres,7,19
 Zoe  Lofgren,7,38
 Sharice  Davids,7,26
 Charlie  Crist,7,54
 Donald M. Payne,7,19
 Daniel  Webster,7,28
 Vicente  Gonzalez,7,34
 Bennie G. Thompson,7,1
 Jerry  McNerney,7,49
 Juan  Vargas,7,33
 Greg  Walden,7,46
 Susan A. Davis,7,25
 Sean  Casten,7,38
 Jim  Cooper,7,59
 Mike  Gallagher,7,11
 Joe  Neguse,7,53
 Frederica S. Wilson,7,20
 Bonnie  Watson Coleman,7,53
 Chris  Pappas,7,16
 Matt  Cartwright,7,58
 Guy  Reschenthaler,7,29
 Mike  Quigley,7,37
 Michael  Guest,7,27
 Chellie  Pingree,7,32
 Robin L. Kelly,7,54
 Ilhan  Omar,7,38
