Date,Committee,Hearing Title,Time,Link,Hour,Code
"Tuesday, January 8, 2019",Committee on Rules,Committee Organizational Meeting for the 116th Congress,5:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108806,17,RU00
"Tuesday, January 15, 2019",Committee on Rules,"H.R. 268 Supplemental Appropriations Act, 2019",3:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108808,15,RU00
"Wednesday, January 16, 2019",Committee on Rules,"H.J. Res. 28 Further Additional Continuing Appropriations Act, 2019",3:45 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108809,15,RU00
"Tuesday, January 22, 2019",Committee on Rules,"H.R. 648 Consolidated Appropriations Act, 2019; H.J. Res 31 Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",5:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108811,17,RU00
"Thursday, January 24, 2019",Committee on Ways and Means,Organizational Meeting of the Full Committee,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108986,10,WM00
"Thursday, January 24, 2019",Committee on the Judiciary,Committee Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108818,10,JU00
"Thursday, January 24, 2019",Committee on Armed Services,Organizational Meeting for the 116th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108810,10,AS00
"Tuesday, January 29, 2019",Committee on the Budget,Consideration of Rules of the Committee on the Budget for the 116th Congress,9:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108813,9,BU00
"Tuesday, January 29, 2019",Committee on Armed Services,Department of Defenses Support to the Southern Border,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,10,AS00
"Tuesday, January 29, 2019",Committee on the Judiciary,"H.R. 1, the For the People Act of 2019",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,10,JU00
"Tuesday, January 29, 2019",Committee on Ways and Means,Protecting Americans with Pre-Existing Conditions,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,10,WM00
"Tuesday, January 29, 2019",Committee on Oversight and Reform,Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108816,10,GO00
"Tuesday, January 29, 2019",Committee on the Budget,The Congressional Budget Offices Budget and Economic Outlook,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,10,BU00
"Tuesday, January 29, 2019",Committee on Education and Labor,"Organizational meeting to introduce new members, consider and adopt the Rules of the Committee, report and approve subcommittee Chairs, Ranking Members, and assignments, and present the Committee Oversight Plan.",10:15 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,10,ED00
"Tuesday, January 29, 2019",Committee on Oversight and Reform,Examining the Actions of Drug Companies in Raising Prescription Drug Prices,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,11,GO00
"Tuesday, January 29, 2019",Committee on Foreign Affairs,Committee Organizational Meeting,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108832,14,FA00
"Tuesday, January 29, 2019",Committee on Rules,H.R. 790 Federal Civilian Workforce Pay Raise Fairness Act of 2019,3:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108821,15,RU00
"Wednesday, January 30, 2019",Committee on Financial Services,Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108830,10,BA00
"Wednesday, January 30, 2019",Committee on Homeland Security,Organizational Meeting for the 116th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108827,10,HM00
"Wednesday, January 30, 2019",Committee on Appropriations,Full Committee Organizational Meeting of the Committee on Appropriations,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108826,10,AP00
"Wednesday, January 30, 2019",Committee on Natural Resources,Full Committee organizational meeting to consider and adopt the Rules of the Committee on Natural Resources for the 116th Congress.,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108833,11,II00
"Wednesday, January 30, 2019",Committee on Appropriations,Conference Meeting on House & Senate Amendments to H.J. Res. 31,1:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108828,13,AP00
"Wednesday, February 6, 2019",Committee on Foreign Affairs,U.S. Policy in the Arabian Peninsula,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,10,FA00
"Wednesday, February 6, 2019","Subcommittee on the Departments of Labor, Health and Human Services, Education, and Related Agencies (Committee on Appropriations)",Oversight Hearing: Impact of the Administration s Policies Affecting the Affordable Care Act,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108858,10,AP07
"Wednesday, February 6, 2019","Subcommittee on Interior, Environment, and Related Agencies (Committee on Appropriations)",The Power of the Purse: A Review of Agency Spending Restrictions During a Shutdown,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108857,10,AP06
"Wednesday, February 6, 2019",Committee on Ways and Means,Improving Retirement Security for Americas Workers,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,10,WM00
"Wednesday, February 6, 2019","Committee on Science, Space, and Technology",Organizational Meeting for 116th Congress,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108888,10,SY00
"Wednesday, February 6, 2019",Permanent Select Committee on Intelligence,Full Committee Organizational/Business Meeting (Closed),10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108866,10,IG00
