MC,Hearing 1 Code,Hearing 1 Link,Hearing 2 Code,Hearing 2 Link,Date
 Veronica  Escobar,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108818,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108810,"Thursday, January 24, 2019"
 Matt  Gaetz,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108818,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108810,"Thursday, January 24, 2019"
 Veronica  Escobar,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,"Tuesday, January 29, 2019"
 Matt  Gaetz,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,"Tuesday, January 29, 2019"
 Jim  Cooper,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108816,"Tuesday, January 29, 2019"
 Jackie  Speier,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108816,"Tuesday, January 29, 2019"
 Ro  Khanna,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108816,"Tuesday, January 29, 2019"
 Jim  Cooper,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Seth  Moulton,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Ro  Khanna,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Susan A. Davis,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Joe  Courtney,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Donald  Norcross,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Lori  Trahan,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Bradley  Byrne,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Elise M. Stefanik,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Jim  Banks,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Jim  Cooper,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Jackie  Speier,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Ro  Khanna,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108820,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Jamie  Raskin,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108816,"Tuesday, January 29, 2019"
 Jim  Jordan,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108816,"Tuesday, January 29, 2019"
 Kelly  Armstrong,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108816,"Tuesday, January 29, 2019"
 W. Gregory Steube,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108816,"Tuesday, January 29, 2019"
 Sheila  Jackson Lee,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Hakeem S. Jeffries,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Pramila  Jayapal,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Pramila  Jayapal,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Lucy  McBath,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Ben  Cline,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108822,"Tuesday, January 29, 2019"
 Jamie  Raskin,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Jim  Jordan,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Kelly  Armstrong,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 W. Gregory Steube,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108824,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108817,"Tuesday, January 29, 2019"
 Jimmy  Gomez,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108816,"Tuesday, January 29, 2019"
 Lloyd  Doggett,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Brian  Higgins,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Daniel T. Kildee,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Brendan F. Boyle,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Jimmy  Panetta,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Steven  Horsford,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 George  Holding,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
 Jason  Smith,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108918,BU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108814,"Tuesday, January 29, 2019"
