,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
ED00, Mikie Sherrill, Andy Levin, Bob Good, Burgess Owens, Madison Cawthorn, Mary E. Miller, Fred Keller, Sheila Cherfilus-McCormick, Virginia Foxx, Rael M. Grijalva, Jim Banks, Teresa Leger Fernandez, Chris Jacobs, James Comer, Donald Norcross, Mary Sattler Peltola, Kweisi Mfume, Joe Courtney, Victoria Spartz, Pramila Jayapal, Brad Finstad, Rick W. Allen, Lisa C. McClain, Mark DeSaulnier, Elise M. Stefanik, Adriano Espaillat, Scott Fitzgerald, Gregorio Kilili Camacho Sablan, Tim Walberg, Mark Pocan, Frederica S. Wilson, Glenn Grothman, Frank J. Mrvan, Ilhan Omar, Jahana Hayes," Robert C. ""Bobby"" Scott", Jamaal Bowman, Joaquin Castro, Diana Harshbarger, Russ Fulcher, Mariannette Miller-Meeks, Kathy E. Manning, Joe Wilson, Haley M. Stevens, Joseph Sempolinski, Suzanne Bonamici, Mark Takano, Michelle Steel, Alma S. Adams, Mondaire Jones, Glenn Thompson, Susan Wild, Lucy McBath,,,,,,,,,,,,,,,
BU00, Jason Smith, Brian Higgins, Bob Good, Judy Chu, Blake D. Moore, Steven Horsford, Ashley Hinson, Stacey E. Plaskett, Lloyd Smucker, Michael C. Burgess, Barbara Lee, Pramila Jayapal, Scott H. Peters, Brendan F. Boyle, Albio Sires, Joseph D. Morelle, Janice D. Schakowsky, Sheila Jackson Lee, Jim Cooper, Glenn Grothman, Mike Carey, Jennifer Wexton, Tom McClintock, David E. Price, Jay Obernolte, Lloyd Doggett," Robert C. ""Bobby"" Scott", Seth Moulton, Byron Donalds," Earl L. ""Buddy"" Carter", Hakeem S. Jeffries, Lauren Boebert, Ben Cline, Joseph Sempolinski, John A. Yarmuth, Daniel T. Kildee, Randy Feenstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG00, Cynthia Axne," Al Lawson, Jr.", Doug LaMalfa, Vicky Hartzler, Mary E. Miller, Cheri Bustos, Jimmy Panetta, Austin Scott, David Rouzer, Dusty Johnson, Stacey E. Plaskett," Sanford D. Bishop, Jr.", Chris Jacobs, James P. McGovern, Shontel M. Brown, Tracey Mann, Scott DesJarlais, Randy Feenstra, Kat Cammack, Mayra Flores, Ann Kuster, Salud O. Carbajal, Brad Finstad, Don Bacon, Rick W. Allen, Michael Cloud, Michelle Fischbach, J. Luis Correa, Rodney Davis, Gregorio Kilili Camacho Sablan, Kim Schrier, Chellie Pingree, Abigail Davis Spanberger, Angie Craig, Sean Patrick Maloney, Josh Harder, Sharice Davids, Jahana Hayes, Tom O'Halleran, Bobby L. Rush, James R. Baird, Marcy Kaptur, Trent Kelly, Barry Moore," Eric A. ""Rick"" Crawford", Troy Balderson, Alma S. Adams, Jim Costa, Glenn Thompson, Ro Khanna, David Scott,,,,,,,,,,,,,,,,,
IF00, Doris O. Matsui, Peter Welch, Fred Upton, H. Morgan Griffith, G. K. Butterfield," Frank Pallone, Jr.", Bill Johnson, Yvette D. Clarke, John Joyce, Kelly Armstrong, A. Donald McEachin, Greg Pence, Nanette Diaz Barragen, Steve Scalise, Michael C. Burgess, Darren Soto, Lori Trahan, Ann Kuster, Scott H. Peters, Paul Tonko, Raul Ruiz, David B. McKinley, Debbie Lesko, Lizzie Fletcher, Larry Bucshon, Debbie Dingell, John R. Curtis, Diana DeGette, Kim Schrier, Tim Walberg, Cathy McMorris Rodgers, Janice D. Schakowsky, Jerry McNerney, Kathy Castor, Adam Kinzinger, Robin L. Kelly, Marc A. Veasey, Angie Craig, Jeff Duncan, Tony Cerdenas, John P. Sarbanes, Tom O'Halleran, Gary J. Palmer, Anna G. Eshoo, Robert E. Latta, Dan Crenshaw, Lisa Blunt Rochester, Bobby L. Rush, Markwayne Mullin," Earl L. ""Buddy"" Carter", Gus M. Bilirakis, Michael F. Doyle, Richard Hudson, Brett Guthrie, Kurt Schrader, Billy Long, Neal P. Dunn, Kathleen M. Rice,,,,,,,,,,
AS00, Mikie Sherrill, Robert J. Wittman, Vicky Hartzler, Blake D. Moore, Chrissy Houlahan, Jimmy Panetta, Liz Cheney, Steven Horsford, Doug Lamborn, Austin Scott, Mike Gallagher, Michael R. Turner, Jim Banks, Anthony G. Brown, Andy Kim, Rick Larsen, Jason Crow, C. Scott Franklin, Kaiali'i Kahele, Sam Graves, Donald Norcross, Scott DesJarlais, Mo Brooks, Joe Courtney, Jackie Speier, Salud O. Carbajal, Don Bacon, Michael Waltz, Mike Rogers, Mike Johnson, Jared F. Golden, Elise M. Stefanik, Lisa C. McClain, James R. Langevin, Matt Gaetz, Stephanie N. Murphy, Patrick Ryan, Jim Cooper, Sara Jacobs, Pat Fallon, Marilyn Strickland, Marc A. Veasey, Ronny Jackson, Seth Moulton, Adam Smith, Mark E. Green, John Garamendi, Elissa Slotkin, Jerry L. Carl, Trent Kelly, Joe Wilson, Sylvia R. Garcia, Stephanie I. Bice, William R. Keating, Veronica Escobar, Elaine G. Luria, Ruben Gallego, Jack Bergman, Ro Khanna,,,,,,,,,
ED07, Russ Fulcher, Kweisi Mfume, Victoria Spartz, Frank J. Mrvan, Glenn Thompson, Lisa C. McClain, Suzanne Bonamici, Scott Fitzgerald, Alma S. Adams, Jamaal Bowman, Jahana Hayes, Teresa Leger Fernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP00, David P. Joyce, Ken Calvert, Norma J. Torres, Cheri Bustos, Tom Cole, Ed Case, Julia Letlow, Chris Stewart, Steve Womack, Debbie Wasserman Schultz, Ashley Hinson," Sanford D. Bishop, Jr.", Steven M. Palazzo, Lauren Underwood, Jaime Herrera Beutler, Lucille Roybal-Allard, Andy Harris, Barbara Lee, Katherine M. Clark, Adriano Espaillat, Lois Frankel, Harold Rogers, John R. Carter, Derek Kilmer, Joseph D. Morelle," Charles J. ""Chuck"" Fleischmann", Chellie Pingree, Dan Newhouse, Kay Granger, Mark Pocan, David J. Trone, Guy Reschenthaler, Henry Cuellar, Matt Cartwright, David G. Valadao, John H. Rutherford, Jennifer Wexton, David E. Price, Betty McCollum, Tim Ryan, Josh Harder, Mark E. Amodei, Grace Meng, Pete Aguilar, Tony Gonzales, Marcy Kaptur, Bonnie Watson Coleman, Rosa L. DeLauro, Ben Cline, Ann Kirkpatrick, Susie Lee, C. A. Dutch Ruppersberger, Mike Quigley, Brenda L. Lawrence, Mike Garcia, Mario Diaz-Balart, John R. Moolenaar, Robert B. Aderholt, Michael K. Simpson,,,,,,,,,
SO00, David P. Joyce, Michael Guest, John H. Rutherford, Veronica Escobar, Dean Phillips, Kelly Armstrong, Mondaire Jones, Susan Wild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF16, Doris O. Matsui, Peter Welch, G. K. Butterfield," Frank Pallone, Jr.", Bill Johnson, Yvette D. Clarke, A. Donald McEachin, Steve Scalise, Darren Soto, Lizzie Fletcher, John R. Curtis, Tim Walberg, Cathy McMorris Rodgers, Jerry McNerney, Adam Kinzinger, Robin L. Kelly, Marc A. Veasey, Angie Craig, Jeff Duncan, Tony Cerdenas, Tom O'Halleran, Anna G. Eshoo, Robert E. Latta, Markwayne Mullin," Earl L. ""Buddy"" Carter", Gus M. Bilirakis, Michael F. Doyle, Richard Hudson, Brett Guthrie, Kurt Schrader, Billy Long, Kathleen M. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG14," Al Lawson, Jr.", Jimmy Panetta, Austin Scott, Stacey E. Plaskett, Chris Jacobs, Mayra Flores, Shontel M. Brown, Salud O. Carbajal, Brad Finstad, Don Bacon, Michelle Fischbach, J. Luis Correa, Rodney Davis, Kim Schrier, Chellie Pingree, Sean Patrick Maloney, Josh Harder, James R. Baird," Eric A. ""Rick"" Crawford", Troy Balderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP01, Chellie Pingree, Mark Pocan, Dan Newhouse, Henry Cuellar, Andy Harris, Barbara Lee, Robert B. Aderholt, David G. Valadao, Julia Letlow, Betty McCollum, Debbie Wasserman Schultz, Grace Meng," Sanford D. Bishop, Jr.", John R. Moolenaar, Lauren Underwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF17, Fred Upton," Frank Pallone, Jr.", Yvette D. Clarke, Kelly Armstrong, Greg Pence, Darren Soto, Lori Trahan, Debbie Lesko, Lizzie Fletcher, Larry Bucshon, Debbie Dingell, Cathy McMorris Rodgers, Janice D. Schakowsky, Jerry McNerney, Kathy Castor, Robin L. Kelly, Angie Craig, Tony Cerdenas, Robert E. Latta, Bobby L. Rush, Gus M. Bilirakis, Brett Guthrie, Neal P. Dunn, Kathleen M. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG22, Cynthia Axne, Kat Cammack, Doug LaMalfa, Ann Kuster, Cheri Bustos, Michael Cloud, Michelle Fischbach, Austin Scott, Angie Craig, Sean Patrick Maloney, Rodney Davis, Troy Balderson, Stacey E. Plaskett, Randy Feenstra, Ro Khanna, Chris Jacobs, Bobby L. Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
