Date,Committee,Hearing Title,Time,Link,Hour,Code
"Tuesday, January 12, 2021",Committee on Rules,Organizational Meeting for the 117th Congress,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111123,11,RU00
"Tuesday, January 12, 2021",Committee on Rules,"H. Res. 24?Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.",7:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111125,19,RU00
"Wednesday, February 3, 2021",Committee on Armed Services,Organizational Meeting for the 117th Congress,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111126,11,AS00
"Thursday, January 28, 2021",Committee on Energy and Commerce,Organizational Meeting,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111131,13,IF00
"Thursday, February 4, 2021",Committee on Transportation and Infrastructure,Organizational Meeting,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111129,11,PW00
"Monday, February 1, 2021",Committee on Oversight and Reform,Organizational Meeting,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111133,14,GO00
"Tuesday, February 2, 2021",Subcommittee on Oversight and Investigations (Committee on Energy and Commerce),No Time to Lose: Solutions to Increase COVID-19 Vaccinations in the States (Virtual Hearing),11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111137,11,IF02
"Tuesday, February 2, 2021",Committee on Rules,H.R. 447?National Apprenticeship Act of 2021; Rules of the Committee on Rules for the 117th Congress; H. Con. Res. 11?Establishing the congressional budget for the United States Government for fiscal year 2021 and setting forth the appropriate budgetary levels for fiscal years 2022 through 2030.,1:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111140,13,RU00
"Wednesday, February 3, 2021",Committee on Homeland Security,Organizational Meeting,10:15 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111149,10,HM00
"Wednesday, February 3, 2021",Subcommittee on Health (Committee on Energy and Commerce),"?Road to Recovery: Ramping Up COVID-19 Vaccines, Testing, and Medical Supply Chain? (Virtual Hearing)",11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111136,11,IF14
"Wednesday, February 3, 2021",Committee on Financial Services,Organizational Meeting,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111141,11,BA00
"Wednesday, February 3, 2021",Committee on Foreign Affairs,Committee Organizational Meeting,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111147,14,FA00
"Wednesday, February 3, 2021",Committee on Rules,H. Res. 72?Removing a certain Member from certain standing committees of the House of Representatives.,3:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111143,15,RU00
"Thursday, February 4, 2021",Committee on Small Business,117th Committee on Small Business Organizational Meeting,9:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111134,9,SM00
"Thursday, February 4, 2021",Committee on Small Business,State of the Small BusinessEconomy in the Era of COVID-19,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111135,10,SM00
"Thursday, February 4, 2021",Committee on Oversight and Reform,?Accountability and Lessons Learned from the Trump Administration?s Child Separation Policy?,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111138,10,GO00
"Thursday, February 4, 2021",Committee on Financial Services,More than a Shot in the Arm: The Need for Additional COVID-19 Stimulus,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111142,10,BA00
"Thursday, February 4, 2021",Committee on Homeland Security,Examining the Domestic Terrorism Threat in the Wake of the Attack on the U.S. Capitol,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111150,10,HM00
"Thursday, February 4, 2021",Committee on Ways and Means,Organizational Meeting,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111180,10,WM00
"Thursday, February 4, 2021",Subcommittee on Consumer Protection and Commerce (Committee on Energy and Commerce),?Safeguarding American Consumers: Fighting Fraud and Scams During the Pandemic? (Virtual Hearing),12:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111139,12,IF17
"Thursday, February 4, 2021",Committee on Appropriations,Appropriations Full Committee Organizational Meeting,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111144,13,AP00
