Committee,Code
Agriculture,AG00
Appropriations,AP00
Armed Services,AS00
Budget,BU00
Education and Labor,ED00
Energy and Commerce,IF00
Ethics,SO00
Financial Services,BA00
Foreign Affairs,FA00
Homeland Security,HM00
House Administration,HA00
Judiciary,JU00
Natural Resources,II00
Oversight and Reform,GO00
Rules,RU00
"Science, Space, and Technology",SY00
Small Business,SM00
Transportation and Infrastructure,PW00
Veterans' Affairs,VR00
Ways and Means,WM00
Select Intelligence,IG00
Select Economic Disparity and Fairness in Growth,EF00
Select Climate Crisis,CN00
Select Modernization of Congress,MH00
Select Investigate the January 6th Attack on the United States Capitol,IJ00
Joint Economic,EC00
Joint Library,JL00
Joint Printing,JP00
Joint Taxation,IT00
Committee on Agriculture,AG00
"Subcommittee on Biotechnology, Horticulture, and Research (Committee on Agriculture)",AG14
"Subcommittee on Commodity Exchanges, Energy, and Credit (Committee on Agriculture)",AG22
Subcommittee on Conservation and Forestry (Committee on Agriculture),AG15
Subcommittee on General Farm Commodities and Risk Management (Committee on Agriculture),AG16
Subcommittee on Livestock and Foreign Agriculture (Committee on Agriculture),AG29
"Subcommittee on Nutrition, Oversight, and Department Operations (Committee on Agriculture)",AG03
Committee on Appropriations,AP00
"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies (Committee on Appropriations)",AP01
"Subcommittee on Commerce, Justice, Science, and Related Agencies (Committee on Appropriations)",AP19
Subcommittee on Defense (Committee on Appropriations),AP02
"Subcommittee on Energy and Water Development, and Related Agencies (Committee on Appropriations)",AP10
Subcommittee on Financial Services and General Government (Committee on Appropriations),AP23
Subcommittee on Homeland Security (Committee on Appropriations),AP15
"Subcommittee on Interior, Environment, and Related Agencies (Committee on Appropriations)",AP06
"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies (Committee on Appropriations)",AP07
Subcommittee on Legislative Branch (Committee on Appropriations),AP24
"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies (Committee on Appropriations)",AP18
"Subcommittee on State, Foreign Operations, and Related Programs (Committee on Appropriations)",AP04
"Subcommittee on Transportation, and Housing and Urban Development, and Related Agencies (Committee on Appropriations)",AP20
Committee on Armed Services,AS00
"Subcommittee on Cyber, Innovative Technologies, and Information Systems (Committee on Armed Services)",AS35
Subcommittee on Intelligence and Special Operations (Committee on Armed Services),AS26
Subcommittee on Military Personnel (Committee on Armed Services),AS02
Subcommittee on Readiness (Committee on Armed Services),AS03
Subcommittee on Seapower and Projection Forces (Committee on Armed Services),AS28
Subcommittee on Strategic Forces (Committee on Armed Services),AS29
Subcommittee on Tactical Air and Land Forces (Committee on Armed Services),AS25
Committee on the Budget,BU00
Committee on Education and Labor,ED00
Subcommittee on Civil Rights and Human Services (Committee on Education and Labor),ED07
"Subcommittee on Early Childhood, Elementary, and Secondary Education (Committee on Education and Labor)",ED14
"Subcommittee on Health, Employment, Labor, and Pensions (Committee on Education and Labor)",ED02
Subcommittee on Higher Education and Workforce Investment (Committee on Education and Labor),ED13
Subcommittee on Workforce Protections (Committee on Education and Labor),ED10
Committee on Energy and Commerce,IF00
Subcommittee on Communications and Technology (Committee on Energy and Commerce),IF16
Subcommittee on Consumer Protection and Commerce (Committee on Energy and Commerce),IF17
Subcommittee on Energy (Committee on Energy and Commerce),IF03
Subcommittee on Environment and Climate Change (Committee on Energy and Commerce),IF18
Subcommittee on Health (Committee on Energy and Commerce),IF14
Subcommittee on Oversight and Investigations (Committee on Energy and Commerce),IF02
Committee on Ethics,SO00
Committee on Financial Services,BA00
Subcommittee on Consumer Protection and Financial Institutions (Committee on Financial Services),BA15
Subcommittee on Diversity and Inclusion (Committee on Financial Services),BA13
"Subcommittee on Housing, Community Development, and Insurance (Committee on Financial Services)",BA04
"Subcommittee on Investor Protection, Entrepreneurship, and Capital Markets (Committee on Financial Services)",BA16
"Subcommittee on National Security, International Development, and Monetary Policy (Committee on Financial Services)",BA01
Subcommittee on Oversight and Investigations (Committee on Financial Services),BA09
Committee on Foreign Affairs,FA00
"Subcommittee on Africa, Global Health, and Global Human Rights (Committee on Foreign Affairs)",FA16
"Subcommittee on Asia, the Pacific, Central Asia, and Nonproliferation (Committee on Foreign Affairs)",FA05
"Subcommittee on Europe, Energy, the Environment, and Cyber (Committee on Foreign Affairs)",FA14
"Subcommittee on International Development, International Organizations, and Global Corporate Social Impact (Committee on Foreign Affairs)",FA17
"Subcommittee on Middle East, North Africa, and Global Counterterrorism (Committee on Foreign Affairs)",FA13
"Subcommittee on Western Hemisphere, Civilian Security, Migration, and International Economic Policy (Committee on Foreign Affairs)",FA07
Committee on Homeland Security,HM00
"Subcommittee on Border Security, Facilitation, and Operations (Committee on Homeland Security)",HM11
"Subcommittee on Cybersecurity, Infrastructure Protection, and Innovation (Committee on Homeland Security)",HM08
"Subcommittee on Emergency Preparedness, Response, and Recovery (Committee on Homeland Security)",HM12
Subcommittee on Intelligence and Counterterrorism (Committee on Homeland Security),HM05
"Subcommittee on Oversight, Management, and Accountability (Committee on Homeland Security)",HM09
Subcommittee on Transportation and Maritime Security (Committee on Homeland Security),HM07
Committee on House Administration,HA00
Subcommittee on Elections (Committee on House Administration),HA08
Committee on the Judiciary,JU00
"Subcommittee on Antitrust, Commercial, and Administrative Law (Committee on the Judiciary)",JU05
"Subcommittee on The Constitution, Civil Rights, and Civil Liberties (Committee on the Judiciary)",JU10
"Subcommittee on Courts, Intellectual Property, and the Internet (Committee on the Judiciary)",JU03
"Subcommittee on Crime, Terrorism and Homeland Security (Committee on the Judiciary)",JU08
Subcommittee on Immigration and Citizenship (Committee on the Judiciary),JU01
Committee on Natural Resources,II00
Subcommittee on Energy and Mineral Resources (Committee on Natural Resources),II06
Subcommittee on For Indigenous Peoples of the United States (Committee on Natural Resources),II24
"Subcommittee on National Parks, Forests, and Public Lands (Committee on Natural Resources)",II10
Subcommittee on Oversight and Investigations (Committee on Natural Resources),II15
"Subcommittee on Water, Oceans, and Wildlife (Committee on Natural Resources)",II13
Committee on Oversight and Reform,GO00
Subcommittee on Civil Rights and Civil Liberties (Committee on Oversight and Reform),GO02
Subcommittee on Economic and Consumer Policy (Committee on Oversight and Reform),GO05
Subcommittee on Environment (Committee on Oversight and Reform),GO28
Subcommittee on Government Operations (Committee on Oversight and Reform),GO24
Subcommittee on National Security (Committee on Oversight and Reform),GO06
Select Subcommittee on the Coronavirus Crisis,VC00
Committee on Rules,RU00
Subcommittee on Expedited Procedures (Committee on Rules),RU05
Subcommittee on Legislative and Budget Process (Committee on Rules),RU02
Subcommittee on Rules and Organization of the House (Committee on Rules),RU04
"Committee on Science, Space, and Technology",SY00
"Subcommittee on Energy (Committee on Science, Space, and Technology)",SY20
"Subcommittee on Environment (Committee on Science, Space, and Technology)",SY18
"Subcommittee on Investigations and Oversight (Committee on Science, Space, and Technology)",SY21
"Subcommittee on Research and Technology (Committee on Science, Space, and Technology)",SY15
"Subcommittee on Space and Aeronautics (Committee on Science, Space, and Technology)",SY16
Committee on Small Business,SM00
Subcommittee on Contracting and Infrastructure (Committee on Small Business),SM23
"Subcommittee on Economic Growth, Tax, and Capital Access (Committee on Small Business)",SM27
"Subcommittee on Innovation, Entrepreneurship, and Workforce Development (Committee on Small Business)",SM26
"Subcommittee on Oversight, Investigations, and Regulations (Committee on Small Business)",SM24
"Subcommittee on Underserved, Agricultural, and Rural Business Development (Committee on Small Business)",SM25
Committee on Transportation and Infrastructure,PW00
