MC,Hearing 1 Code,Hearing 1 Link,Hearing 2 Code,Hearing 2 Link,Date
 James R. Langevin,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111126,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111149,"Wednesday, February 3, 2021"
 Elissa Slotkin,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111126,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111149,"Wednesday, February 3, 2021"
 Elaine G. Luria,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111126,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111149,"Wednesday, February 3, 2021"
 Sylvia R. Garcia,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111126,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111141,"Wednesday, February 3, 2021"
 Nanette Diaz Barragen,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111149,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111136,"Wednesday, February 3, 2021"
 Al Green,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111149,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111141,"Wednesday, February 3, 2021"
 Ritchie Torres,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111149,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111141,"Wednesday, February 3, 2021"
 Emanuel Cleaver,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111149,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111141,"Wednesday, February 3, 2021"
 Josh Gottheimer,HM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111149,BA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111141,"Wednesday, February 3, 2021"
 Beth Van Duyne,PW00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111129,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=111134,"Thursday, February 4, 2021"
