value,id,variable
 A. Drew Ferguson IV,4,4
 Aaron Bean,10,10
 Abigail Davis Spanberger,6,6
 Adam B. Schiff,2,2
 Adam Smith,1,1
 Adrian Smith,4,4
 Adriano Espaillat,4,4
 Al Green,4,4
 Alexander X. Mooney,3,3
 Alexandria Ocasio-Cortez,4,4
 Alma S. Adams,6,6
 Ami Bera,8,8
 Andre Carson,6,6
 Andrea Salinas,7,7
 Andrew Ogles,4,4
 Andrew R. Garbarino,6,6
 Andrew S. Clyde,4,4
 Andy Barr,6,6
 Andy Biggs,6,6
 Andy Harris,4,4
 Andy Kim,7,7
 Angie Craig,6,6
 Ann M. Kuster,4,4
 Ann Wagner,6,6
 Anna G. Eshoo,3,3
 Anna Paulina Luna,7,7
 Anthony D'Esposito,10,10
 Ashley Hinson,5,5
 August Pfluger,6,6
 Aumua Amata Coleman Radewagen,9,9
 Austin Scott,12,12
 Ayanna Pressley,6,6
 Barbara Lee,5,5
 Barry Loudermilk,6,6
 Barry Moore,7,7
 Becca Balint,4,4
 Ben Cline,9,9
 Bennie G. Thompson,7,7
 Beth Van Duyne,6,6
 Betty McCollum,3,3
 Bill Foster,4,4
 Bill Huizenga,6,6
" Bill Pascrell, Jr.",3,3
 Bill Posey,6,6
 Blaine Luetkemeyer,8,8
 Blake D. Moore,5,5
 Bob Good,4,4
 Bonnie Watson Coleman,3,3
 Brad Finstad,7,7
 Brad R. Wenstrup,9,9
 Brad Sherman,7,7
 Bradley Scott Schneider,4,4
 Brandon Williams,10,10
 Brendan F. Boyle,1,1
 Brett Guthrie,4,4
 Brian Babin,7,7
 Brian J. Mast,7,7
 Brian K. Fitzpatrick,6,6
 Brittany Pettersen,3,3
 Bruce Westerman,10,10
 Bryan Steil,4,4
 Burgess Owens,7,7
 Byron Donalds,6,6
 C. A. Dutch Ruppersberger,3,3
 Carlos A. Gimenez,7,7
 Carol D. Miller,3,3
 Cathy McMorris Rodgers,7,7
 Celeste Maloy,7,7
" Charles J. ""Chuck"" Fleischmann",7,7
 Chellie Pingree,7,7
 Chip Roy,6,6
 Chris Pappas,9,9
 Chrissy Houlahan,5,5
 Christopher H. Smith,3,3
 Christopher R. Deluzio,6,6
 Chuck Edwards,5,5
 Claudia Tenney,6,6
 Clay Higgins,6,6
 Cliff Bentz,6,6
 Colin Z. Allred,7,7
 Cori Bush,6,6
 Cory Mills,6,6
 Dale W. Strong,9,9
 Dan Bishop,7,7
 Dan Crenshaw,7,7
 Dan Newhouse,5,5
 Daniel Meuser,7,7
 Daniel S. Goldman,6,6
 Daniel T. Kildee,4,4
 Daniel Webster,9,9
 Danny K. Davis,3,3
 Darin LaHood,7,7
 Darrell Issa,10,10
 Darren Soto,5,5
 David G. Valadao,6,6
 David J. Trone,4,4
 David Kustoff,4,4
 David P. Joyce,4,4
 David Rouzer,6,6
 David Schweikert,4,4
 David Scott,4,4
 Dean Phillips,5,5
 Debbie Dingell,9,9
 Debbie Lesko,6,6
 Debbie Wasserman Schultz,5,5
 Deborah K. Ross,9,9
 Delia C. Ramirez,6,6
 Derek Kilmer,7,7
 Derrick Van Orden,10,10
