,AG00,AP00,AS00,BU00,ED00,IF00,SO00,BA00,FA00,HM00,HA00,JU00,FD00,II00,GO00,VC00,RU00,SY00,SM00,PW00,VR00,WM00,IG00,ZS00
AG00,54,2,12,0,5,3,0,5,4,0,0,1,1,2,4,2,3,7,5,12,3,1,4,2
AP00,2,61,0,7,1,0,3,0,0,2,4,1,1,3,2,1,1,5,1,0,2,0,1,3
AS00,12,0,58,3,6,1,1,1,8,4,1,3,3,5,6,3,1,4,3,6,5,2,6,7
BU00,0,7,3,35,7,4,1,1,0,2,0,5,0,1,2,0,4,0,0,1,1,10,0,0
ED00,5,1,6,7,44,2,2,1,4,0,0,4,1,3,5,0,2,4,1,8,2,3,1,3
IF00,3,0,1,4,2,52,0,0,1,2,1,1,2,3,1,5,1,3,0,0,1,0,1,2
SO00,0,3,1,1,2,0,10,1,1,3,0,3,0,0,0,1,1,1,0,1,0,1,0,0
BA00,5,0,1,1,1,0,1,52,9,1,2,1,3,1,6,0,2,3,4,0,0,0,3,3
FA00,4,0,8,0,4,1,1,9,50,2,0,4,4,2,5,3,0,5,2,7,3,1,5,2
HM00,0,2,4,2,0,2,3,1,2,33,2,6,2,1,4,2,0,1,3,4,3,0,0,1
HA00,0,4,1,0,0,1,0,2,0,2,12,1,0,0,0,0,0,1,0,1,1,3,0,0
JU00,1,1,3,5,4,1,3,1,4,6,1,43,8,6,4,1,4,3,1,6,0,0,0,0
FD00,1,1,3,0,1,2,0,3,4,2,0,8,21,1,5,0,1,1,0,3,0,2,2,0
II00,2,3,5,1,3,3,0,1,2,1,0,6,1,45,6,1,2,3,3,12,4,0,0,1
GO00,4,2,6,2,5,1,0,6,5,4,0,4,5,6,47,4,1,2,1,4,1,0,3,3
VC00,2,1,3,0,0,5,1,0,3,2,0,1,0,1,4,16,0,2,1,0,1,2,2,0
RU00,3,1,1,4,2,1,1,2,0,0,0,4,1,2,1,0,13,0,0,1,0,1,1,0
SY00,7,5,4,0,4,3,1,3,5,1,1,3,1,3,2,2,0,39,0,8,1,1,2,1
SM00,5,1,3,0,1,0,0,4,2,3,0,1,0,3,1,1,0,0,27,8,4,2,0,1
PW00,12,0,6,1,8,0,1,0,7,4,1,6,3,12,4,0,1,8,8,63,4,0,2,4
VR00,3,2,5,1,2,1,0,0,3,3,1,0,0,4,1,1,0,1,4,4,25,1,0,0
WM00,1,0,2,10,3,0,1,0,1,0,3,0,2,0,0,2,1,1,2,0,1,43,4,2
IG00,4,1,6,0,1,1,0,3,5,0,0,0,2,0,3,2,1,2,0,2,0,4,23,3
ZS00,2,3,7,0,3,2,0,3,2,1,0,0,0,1,3,0,0,1,1,4,0,2,3,23
