MC,Hearing 1 Code,Hearing 1 Link,Hearing 2 Code,Hearing 2 Link,Date
 Gus M. Bilirakis,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Larry Bucshon,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Neal P. Dunn,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Diana Harshbarger,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Jay Obernolte,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Cathy McMorris Rodgers,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Debbie Dingell,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Robin L. Kelly,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Lisa Blunt Rochester,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Lori Trahan,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
" Frank Pallone, Jr.",IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115361,IF17,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115346,"Wednesday, February 1, 2023"
 Brad Sherman,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115288,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115290,"Wednesday, February 8, 2023"
 Gregory W. Meeks,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115288,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115290,"Wednesday, February 8, 2023"
 David Scott,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115288,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115290,"Wednesday, February 8, 2023"
 Juan Vargas,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115288,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115290,"Wednesday, February 8, 2023"
 Sean Casten,BA16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115288,BA20,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115290,"Wednesday, February 8, 2023"
 Kat Cammack,IF02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115351,IF16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115337,"Wednesday, February 8, 2023"
 Cathy McMorris Rodgers,IF02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115351,IF16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115337,"Wednesday, February 8, 2023"
" Frank Pallone, Jr.",IF02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115351,IF16,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115337,"Wednesday, February 8, 2023"
 Michael Waltz,AS02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115397,AS03,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115355,"Tuesday, February 28, 2023"
 Brad Finstad,AS02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115397,AS03,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115355,"Tuesday, February 28, 2023"
 James C. Moylan,AS02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115397,AS03,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115355,"Tuesday, February 28, 2023"
 Veronica Escobar,AS02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115397,AS03,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115355,"Tuesday, February 28, 2023"
 Marilyn Strickland,AS02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115397,AS03,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115355,"Tuesday, February 28, 2023"
 Jill N. Tokuda,AS02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115397,AS03,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115355,"Tuesday, February 28, 2023"
 Donald G. Davis,AS02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115397,AS03,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115355,"Tuesday, February 28, 2023"
 Michael K. Simpson,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115411,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,"Wednesday, March 8, 2023"
 Chuck Edwards,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115411,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,"Wednesday, March 8, 2023"
 Josh Harder,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115411,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,"Wednesday, March 8, 2023"
 Andrew S. Clyde,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115418,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,"Wednesday, March 8, 2023"
 Jake LaTurner,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115418,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,"Wednesday, March 8, 2023"
 Andrew S. Clyde,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115421,"Wednesday, March 8, 2023"
 Jake LaTurner,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115421,"Wednesday, March 8, 2023"
" Charles J. ""Chuck"" Fleischmann",AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115409,"Wednesday, March 8, 2023"
 Jake LaTurner,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115409,"Wednesday, March 8, 2023"
 Juan Ciscomani,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115409,"Wednesday, March 8, 2023"
 Barbara Lee,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115409,"Wednesday, March 8, 2023"
 Lois Frankel,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115417,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115409,"Wednesday, March 8, 2023"
 Jake LaTurner,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115421,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115409,"Wednesday, March 8, 2023"
 Guy Reschenthaler,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115409,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115412,"Wednesday, March 8, 2023"
 Anna Paulina Luna,GO05,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115431,GO12,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115432,"Wednesday, March 8, 2023"
 Nicholas A. Langworthy,GO05,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115431,GO12,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115432,"Wednesday, March 8, 2023"
 Ro Khanna,GO05,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115431,GO12,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115432,"Wednesday, March 8, 2023"
 Chellie Pingree,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115413,AP01,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115430,"Thursday, March 9, 2023"
