Committee,Code
Agriculture,AG00
Committee on Agriculture,AG00
"Nutrition, Oversight, and Department Operations",AG03
"Nutrition, Oversight, and Department Operations (Agriculture)",AG03
"Subcommittee on Nutrition, Oversight, and Department Operations (Committee on Agriculture)",AG03
Subcommittee on Nutrition (Committee on Agriculture),AG03
"Biotechnology, Horticulture, and Research (Agriculture)",AG03
"Biotechnology, Horticulture, and Research",AG14
"Biotechnology, Horticulture, and Research (Agriculture)",AG14
"Subcommittee on Biotechnology, Horticulture, and Research (Committee on Agriculture)",AG14
"Horticulture, Research, Biotechnology, and Foreign Agriculture (Agriculture)",AG14
Conservation and Forestry,AG15
Conservation and Forestry (Agriculture),AG15
Subcommittee on Conservation and Forestry (Committee on Agriculture),AG15
"Conservation, Energy, and Forestry (Agriculture)",AG15
General Farm Commodities and Risk Management,AG16
General Farm Commodities and Risk Management (Agriculture),AG16
Subcommittee on General Farm Commodities and Risk Management (Committee on Agriculture),AG16
"Commodity Exchanges, Energy, and Credit",AG22
"Commodity Exchanges, Energy, and Credit (Agriculture)",AG22
"Subcommittee on Commodity Exchanges, Energy, and Credit (Committee on Agriculture)",AG22
"Department Operations, Oversight, and Nutrition (Agriculture)",AG22
Livestock and Foreign Agriculture,AG29
Livestock and Foreign Agriculture (Agriculture),AG29
Subcommittee on Livestock and Foreign Agriculture (Committee on Agriculture),AG29
"Livestock, Rural Development, and Credit (Agriculture)",AG29
Appropriations,AP00
Committee on Appropriations,AP00
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",AP01
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies (Appropriations)",AP01
"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies (Committee on Appropriations)",AP01
Defense,AP02
Defense (Appropriations),AP02
Subcommittee on Defense (Committee on Appropriations),AP02
"State, Foreign Operations, and Related Programs",AP04
"State, Foreign Operations, and Related Programs (Appropriations)",AP04
"Subcommittee on State, Foreign Operations, and Related Programs (Committee on Appropriations)",AP04
"State, Foreign Operations, and Related Programs (Committee on Appropriations)",AP04
"Interior, Environment, and Related Agencies",AP06
"Interior, Environment, and Related Agencies (Appropriations)",AP06
"Subcommittee on Interior, Environment, and Related Agencies (Committee on Appropriations)",AP06
"Labor, Health and Human Services, Education, and Related Agencies",AP07
"Labor, Health and Human Services, Education, and Related Agencies (Appropriations)",AP07
"the Departments of Labor, Health and Human Services, Education, and Related Agencies (Appropriations)",AP07
"Subcommittee on the Departments of Labor, Health and Human Services, Education, and Related Agencies (Committee on Appropriations)",AP07
"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies (Committee on Appropriations)",AP07
"Energy and Water Development, and Related Agencies",AP10
"Energy and Water Development, and Related Agencies (Appropriations)",AP10
"Subcommittee on Energy and Water Development, and Related Agencies (Committee on Appropriations)",AP10
Homeland Security,AP15
Homeland Security (Appropriations),AP15
the Department of Homeland Security (Appropriations),AP15
Subcommittee on the Department of Homeland Security (Committee on Appropriations),AP15
Subcommittee on Homeland Security (Committee on Appropriations),AP15
"Military Construction, Veterans Affairs, and Related Agencies",AP18
"Military Construction, Veterans Affairs, and Related Agencies (Appropriations)",AP18
"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies (Committee on Appropriations)",AP18
"Commerce, Justice, Science, and Related Agencies",AP19
"Commerce, Justice, Science, and Related Agencies (Appropriations)",AP19
