Committee,Code
Committee on Veterans Affairs,VR00
Subcommittee on Disability Assistance and Memorial Affairs (Committee on Veterans Affairs),VR09
"Subcommittee on Early Childhood, Elementary, and Secondary Education (Committee on Education and Labor)",ED14
"Subcommittee on Economic Growth, Job Creation and Regulatory Affairs (Committee on Oversight and Reform)",GO28
"Subcommittee on Economic Growth, Job Creation, and Regulatory Affairs (Committee on Oversight and Reform)",GO28
Subcommittee on Economic Opportunity (Committee on Veterans Affairs),VR10
"Subcommittee on Energy Policy, Health Care and Entitlements (Committee on Oversight and Reform)",GO27
"Subcommittee on Energy Policy, Health Care, and Entitlements (Committee on Oversight and Reform)",GO27
"Subcommittee on Federal Workforce, U.S. Postal Service and the Census (Committee on Oversight and Reform)",GO25
"Subcommittee on Federal Workforce, U.S. Postal Service, and the Census (Committee on Oversight and Reform)",GO25
Subcommittee on Government Operations (Committee on Oversight and Reform),GO24
Subcommittee on Health (Committee on Veterans Affairs),VR03
"Subcommittee on Health, Employment, Labor, and Pensions (Committee on Education and Labor)",ED02
Subcommittee on Higher Education and Workforce Training (Committee on Education and Labor),ED13
Subcommittee on National Security (Committee on Oversight and Reform),GO06
Subcommittee on Oversight and Investigations (Committee on Veterans Affairs),VR08
"Subcommittee on Regulatory Reform, Commercial and Antitrust Law (Committee on the Judiciary)",JU05
"Subcommittee on Research (Committee on Science, Space, and Technology)",SY15
"Subcommittee on Technology (Committee on Science, Space, and Technology)",SY15
Subcommittee on Workforce Protections (Committee on Education and Labor),ED10
Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,ZI00
Subcommittee on Oversight (Committee on Ways and Means),WM06
Subcommittee on Select Revenue Measures (Committee on Ways and Means),WM05
Subcommittee on Trade (Committee on Ways and Means),WM04
Subcommittee on Human Resources (Committee on Ways and Means),WM03
Subcommittee on Health (Committee on Ways and Means),WM02
Subcommittee on Social Security (Committee on Ways and Means),WM01
Committee on Ways and Means,WM00
"Subcommittee on Oversight (Committee on Science, Space, and Technology)",SY21
"Subcommittee on Energy (Committee on Science, Space, and Technology)",SY20
"Subcommittee on Environment (Committee on Science, Space, and Technology)",SY18
"Subcommittee on Space (Committee on Science, Space, and Technology)",SY16
"Subcommittee on Research and Technology (Committee on Science, Space, and Technology)",SY15
"Committee on Science, Space, and Technology",SY00
Committee on Ethics,SO00
"Subcommittee on Economic Growth, Tax and Capital Access (Committee on Small Business)",SM27
Subcommittee on Health and Technology (Committee on Small Business),SM26
