Committee,Code
Committee on Agriculture,AG
Committee on Appropriations,AP
Committee on Armed Services,AS
Committee on Energy and Commerce,IF
Committee on Financial Services,BA
Committee on Foreign Affairs,FA
Committee on House Administration,HA
Committee on Natural Resources,II
Committee on Rules,RU
"Committee on Science, Space, and Technology",SY
Committee on Small Business,SM
Committee on the Budget,BU
Committee on the Judiciary,JU
Committee on Transportation and Infrastructure,PW
Committee on Veterans' Affairs,VR
Committee on Ways and Means,WM
Committee on Education and the Workforce,ED
Committee on Oversight and Government Reform,GO
Permanent Select Committee on Intelligence,IG
Committee on Homeland Security,HM
Select the Events Surrounding the 2012 Terrorist Attack in Benghazi,ZI
Committee on Ethics,SO
Joint Committee on Printing,JP
Joint Committee on Taxation,IT
Joint Committee on the Library,JL
Joint Economic Committee,EC
Select Committee on the Climate Crisis,CN
Select Committee on the Modernization of Congress,MH
Select Investigative Panel of the Committee on Energy and Commerce (Committee on Energy and Commerce),IE
